frame,x,y
376,499,77
377,501,82
378,517,86
379,518,86
380,522,86
381,530,88
386,537,145
426,517,436
427,516,436
428,516,441
429,517,456
430,525,473
431,524,479
432,531,488
458,448,82
459,451,83
460,446,83
461,453,80
462,460,79
464,489,81
465,495,98
466,497,110
468,511,124
469,517,129
504,509,436
505,507,446
506,512,447
507,519,469
508,531,497
509,534,504
810,510,428
811,510,439
812,510,452
813,510,458
814,511,465
815,516,489
894,505,435
895,507,446
896,510,453
897,512,454
899,515,484
926,431,80
927,432,82
937,519,151
939,539,177
974,496,456
975,502,470
977,513,483
979,524,530
1012,529,74
1015,538,78
1016,542,77
1017,540,78
1020,539,115
1021,537,117
1061,509,442
1062,508,442
1064,514,485
1065,523,493
1066,527,499
1067,533,535
1109,634,106
1114,591,131
1117,559,170
1118,555,174
1156,510,440
1158,505,440
1159,507,460
1160,512,470
1161,523,477
1162,530,485
1163,533,502
1198,534,80
1199,537,80
1200,545,81
1200,675,108
1201,545,105
1202,544,116
1203,535,123
1204,533,128
